X,Graphic Profile 1
0.028286613,30.6149
0.028563933,30.871
0.028841253,31.2953
0.029118573,29.4495
0.029395892,27.0014
0.029673212,25.2605
0.029950532,26.6352
0.030227852,29.4502
0.030505171,30.4461
0.030782491,29.9567
0.031059811,29.2295
0.03133713,28.9744
0.03161445,28.2159
0.03189177,28.534
0.03216909,29.1356
0.032446409,28.0972
0.032723729,24.7432
0.033001049,22.5595
0.033278369,23.457
0.033555688,26.0932
0.033833008,27
0.034110328,26.2829
0.034387648,26.2748
0.034664967,26.7757
0.034942287,26.5855
0.035219607,26.5113
0.035496927,27.2406
0.035774246,27.374
0.036051566,28.3316
0.036328886,29.683
0.036606206,29.8476
0.036883525,29.6964
0.037160845,29.0483
0.037438165,29.1203
0.037715484,29.2314
0.037992804,29.5319
0.038270124,30.9954
0.038547444,32.515
0.038824763,32.5654
0.039102083,31.2348
0.039379403,30.0049
0.039656723,30.6242
0.039934042,30.8801
0.040211362,29.7288
0.040488682,27.1329
0.040766002,26.3902
0.041043321,27.1934
0.041320641,27.7635
0.041597961,26.8901
0.041875281,26.1308
0.0421526,27.0084
0.04242992,28.2674
0.04270724,28.7809
0.04298456,27.5298
0.043261879,26.4045
0.043539199,26.4351
0.043816519,26.7386
0.044093838,26.4433
0.044371158,25.072
0.044648478,24.2435
0.044925798,25.145
0.045203117,28.7016
0.045480437,31.069
0.045757757,31.9552
0.046035077,30.4823
0.046312396,28.9818
0.046589716,28.2225
0.046867036,26.0469
0.047144356,23.2286
0.047421675,20.1097
0.047698995,22.0888
0.047976315,24.3793
0.048253635,25.9196
0.048530954,25.5599
0.048808274,24.7982
0.049085594,27.5209
0.049362914,29.6746
0.049640233,30.2009
0.049917553,28.1124
0.050194873,30.1691
0.050472192,32.799
0.050749512,33.3071
0.051026832,33.1267
0.051304152,31.6285
0.051581471,31
0.051858791,31.0625
0.052136111,31.9195
0.052413431,32.7502
0.05269075,32.6739
0.05296807,31.4154
0.05324539,29.4531
0.05352271,28.5631
0.053800029,27.1506
0.054077349,27.137
0.054354669,28
0.054631989,28
0.054909308,26.8139
0.055186628,25.4786
0.055463948,25.2789
0.055741268,23.8764
0.056018587,22.7831
0.056295907,21.5622
0.056573227,21.6748
0.056850546,21.0266
0.057127866,20.3784
0.057405186,20.2697
0.057682506,20.4805
0.057959825,18.2724
0.058237145,16.8062
0.058514465,17.2315
0.058791785,18.6023
0.059069104,19.0085
0.059346424,19.1362
0.059623744,19.6768
0.059901064,21.2244
0.060178383,21.9837
0.060455703,22.4459
0.060733023,22.9325
0.061010343,22.8692
0.061287662,22.3039
0.061564982,20.2403
0.061842302,19.0641
0.062119622,18.4985
0.062396941,17.9455
0.062674261,18.1396
0.062951581,18.6568
0.0632289,18.5854
0.06350622,18.4288
0.06378354,17.2905
0.06406086,16.8934
0.064338179,17.1772
0.064615499,17.6282
0.064892819,16.1328
0.065170139,14.5921
0.065447458,14.617
0.065724778,14.5939
0.066002098,14.4602
0.066279418,13.6348
0.066556737,13.8123
0.066834057,14.377
0.067111377,16.8673
0.067388697,17.3773
0.067666016,18.065
0.067943336,18.5936
0.068220447,22.048
0.068497559,23.363
0.06877467,23.9919
0.069051782,23.4708
0.069328893,22.9621
0.069606005,24.394
0.069883116,25.9939
0.070160227,24.5418
0.070437339,22.2654
0.07071445,21.6068
0.070991562,22.3795
0.071268673,23.6018
0.071545784,25.4163
0.071822896,27.4358
0.072100007,29.3644
0.072377119,30.9867
0.07265423,32.4499
0.072931342,32.2147
0.073208453,30.914
0.073485564,29.2277
0.073762676,28.0947
0.074039787,26.8644
0.074316899,26.6066
0.07459401,27.3574
0.074871121,28.1289
0.075148233,28.6448
0.075425344,27.9337
0.075702456,28.1862
0.075979567,28.9698
0.076256679,24.128
0.07653379,22.3885
0.076810901,22.3173
0.077088013,22.705
0.077365124,22.9046
0.077642236,23.9253
0.077919347,24.2556
0.078196458,23.3814
0.07847357,21.9211
0.078750681,20.8169
0.079027793,21.3191
0.079304904,21.7333
0.079582016,21.9843
0.079859127,22.6934
0.080136238,23.6709
0.08041335,23.182
0.080690461,21.5607
0.080967573,21
0.081244684,20.741
0.081521796,21.0017
0.081798907,22.3207
0.082076018,22.8419
0.08235313,20.721
0.082630241,19.1713
0.082907353,19.5538
0.083184464,19.9949
0.083461575,19.4267
0.083738687,18.9383
0.084015798,19.0264
0.08429291,19.2822
0.084570021,19.9283
0.084847133,19.5517
0.085124244,19.1429
0.085401355,19.2964
0.085678467,19.5413
0.085955578,18.2805
0.08623269,17.096
0.086509801,17.0625
0.086786912,16.9184
0.087064024,15.8901
0.087341135,16.5883
0.087618247,17.0555
0.087895358,17.7659
0.08817247,17.5858
0.088449581,16.4574
0.088726692,16.6104
0.089003804,18.9122
0.089280915,19.0726
0.089558027,17.5438
0.089835138,15.4825
0.090112249,16.5201
0.090389361,18.5268
0.090666472,21.6543
0.090943584,22.9001
0.091220695,22.9549
0.091497807,22.079
0.091774918,22.3825
0.092052029,22.0876
0.092329141,20.4931
0.092606252,18.8134
0.092883364,18.3365
0.093160475,20.163
0.093437586,22.8056
0.093714698,21.0717
0.093991809,17.7113
0.094268921,15.397
0.094546032,15.4297
0.094823144,15.3816
0.095100255,14.4608
0.095377366,13.6479
0.095654478,12.4712
0.095931589,11.6135
0.096208701,11.3814
0.096485812,12.1461
0.096762923,12.9325
0.097040035,12.0118
0.097317146,11.0898
0.097594258,11.8316
0.097871369,12.702
0.098148481,13.6744
0.098425592,13.4042
0.098702703,13
0.098979815,12.8844
0.099256926,12.8349
0.099534038,12.6415
0.099811149,12.8445
0.10008826,11.843
0.100365372,10.3354
0.100642483,10.0311
0.100919595,10.0463
0.101196706,10.1651
0.101473818,10.6005
0.101750929,11.3778
0.10202804,11.6869
0.102305152,12.99
0.102582263,14.9543
0.102859375,16.2777
0.103136486,17.3957
0.103413597,18.8143
0.103690709,21.8104
0.10396782,22.5973
0.104244932,22.0552
0.104522043,22.3338
0.104799155,21.9805
0.105076266,21.4416
0.105353377,21.2385
0.105630489,22.4289
0.1059076,22.843
0.106184712,22.8739
