OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
56,0,0,56,7.1624050,3273730.954353276640177,476078.688433801755309,3,7.162405014038086
57,0,0,57,7.3682709,3273732.339142106473446,476081.349704154767096,3,7.368270874023438
58,0,0,58,7.3710036,3273733.723930934444070,476084.010974509641528,3,7.371003627777100
59,0,0,59,7.0964060,3273735.108719764277339,476086.672244865447283,3,7.096405982971191
60,0,0,60,7.1285820,3273736.493508592247963,476089.333515221253037,3,7.128582000732422
61,0,0,61,7.1285820,3273737.878297422081232,476091.994785574264824,3,7.128582000732422
62,0,0,62,7.2656479,3273739.263086246326566,476094.656055931933224,3,7.265647888183594
63,0,0,63,7.3910165,3273740.647875074297190,476097.317326284945011,3,7.391016483306885
64,0,0,64,7.4340987,3273742.032663904130459,476099.978596639819443,3,7.434098720550537
65,0,0,65,7.4019289,3273743.417452728375793,476102.639866995625198,3,7.401928901672363
66,0,0,66,7.4636946,3273744.802241556346416,476105.301137351430953,3,7.463694572448730
67,0,0,67,7.4636946,3273746.187030384317040,476107.962407704442739,3,7.463694572448730
68,0,0,68,7.5395546,3273747.571819214150310,476110.623678059317172,3,7.539554595947266
69,0,0,69,7.5947447,3273748.956608042120934,476113.284948415122926,3,7.594744682312012
70,0,0,70,7.5549722,3273750.341396871954203,476115.946218770928681,3,7.554972171783447
71,0,0,71,7.6742315,3273751.726185696199536,476118.607489125803113,3,7.674231529235840
72,0,0,72,7.6742315,3273753.110974524170160,476121.268759481608868,3,7.674231529235840
73,0,0,73,7.5079403,3273754.495763354003429,476123.930029834620655,3,7.507940292358398
74,0,0,74,7.5055609,3273755.880552181974053,476126.591300189495087,3,7.505560874938965
75,0,0,75,7.5750155,3273757.265341006219387,476129.252570545300841,3,7.575015544891357
76,0,0,76,7.6962457,3273758.650129836052656,476131.913840901106596,3,7.696245670318604
77,0,0,77,7.7041674,3273760.034918664023280,476134.575111254118383,3,7.704167366027832
78,0,0,78,7.5746851,3273761.419707491993904,476137.236381608992815,3,7.574685096740723
79,0,0,79,7.6913977,3273762.804496318101883,476139.897651964798570,3,7.691397666931152
80,0,0,80,7.5706973,3273764.189285146072507,476142.558922320604324,3,7.570697307586670
81,0,0,81,7.5897241,3273765.574073974043131,476145.220192675478756,3,7.589724063873291
82,0,0,82,7.6290984,3273766.958862803876400,476147.881463031284511,3,7.629098415374756
83,0,0,83,7.6742392,3273768.343651631847024,476150.542733384296298,3,7.674239158630371
84,0,0,84,7.6742392,3273769.728440461680293,476153.204003740102053,3,7.674239158630371
85,0,0,85,7.6640000,3273771.113229285925627,476155.865274094976485,3,7.664000034332275
86,0,0,86,7.6884003,3273772.498018113896251,476158.526544450782239,3,7.688400268554688
87,0,0,87,7.6435165,3273773.882806943729520,476161.187814803794026,3,7.643516540527344
88,0,0,88,7.6043277,3273775.267595767974854,476163.849085158668458,3,7.604327678680420
89,0,0,89,7.5844307,3273776.652384599670768,476166.510355514474213,3,7.584430694580078
90,0,0,90,7.2457290,3273778.037173425778747,476169.171625870279968,3,7.245728969573975
91,0,0,91,7.2639880,3273779.421962253749371,476171.832896225154400,3,7.263988018035889
92,0,0,92,7.1461620,3273780.806751081719995,476174.494166580960155,3,7.146162033081055
93,0,0,93,7.1316624,3273782.191539905965328,476177.155436933971941,3,7.131662368774414
94,0,0,94,6.9961796,3273783.576328735798597,476179.816707289777696,3,6.996179580688477
95,0,0,95,7.1388464,3273784.961117563769221,476182.477977644652128,3,7.138846397399902
96,0,0,96,7.3934054,3273786.345906393602490,476185.139248000457883,3,7.393405437469482
97,0,0,97,7.4944301,3273787.730695221573114,476187.800518355332315,3,7.494430065155029
98,0,0,98,7.5588832,3273789.115484051406384,476190.461788708344102,3,7.558883190155029
99,0,0,99,7.6457829,3273790.500272875651717,476193.123059064149857,3,7.645782947540283
100,0,0,100,7.6703463,3273791.885061703622341,476195.784329419955611,3,7.670346260070801
101,0,0,101,7.7389188,3273793.269850533455610,476198.445599774830043,3,7.738918781280518
102,0,0,102,7.7389188,3273794.654639361426234,476201.106870127841830,3,7.738918781280518
103,0,0,103,7.6789494,3273796.039428185671568,476203.768140483647585,3,7.678949356079102
104,0,0,104,7.7235885,3273797.424217013642192,476206.429410839453340,3,7.723588466644287
105,0,0,105,7.6874332,3273798.809005843475461,476209.090681194327772,3,7.687433242797852
106,0,0,106,7.6338892,3273800.193794671446085,476211.751951550133526,3,7.633889198303223
107,0,0,107,7.6445594,3273801.578583501279354,476214.413221905007958,3,7.644559383392334
108,0,0,108,7.6757321,3273802.963372325524688,476217.074492258951068,3,7.675732135772705
109,0,0,109,7.6684413,3273804.348161153495312,476219.735762613825500,3,7.668441295623779
110,0,0,110,7.5796695,3273805.732949983328581,476222.397032969631255,3,7.579669475555420
111,0,0,111,7.6156621,3273807.117738811299205,476225.058303324505687,3,7.615662097930908
112,0,0,112,7.5070348,3273808.502527641132474,476227.719573677517474,3,7.507034778594971
113,0,0,113,7.4055119,3273809.887316465377808,476230.380844035185874,3,7.405511856079102
114,0,0,114,7.4055119,3273811.272105293348432,476233.042114389128983,3,7.405511856079102
115,0,0,115,7.4886823,3273812.656894121319056,476235.703384744003415,3,7.488682270050049
116,0,0,116,7.4833565,3273814.041682947427034,476238.364655099809170,3,7.483356475830078
117,0,0,117,7.4489131,3273815.426471779122949,476241.025925454683602,3,7.448913097381592
118,0,0,118,7.4355459,3273816.811260603368282,476243.687195808626711,3,7.435545921325684
119,0,0,119,7.6920052,3273818.196049433201551,476246.348466163501143,3,7.692005157470703
120,0,0,120,7.9617982,3273819.580838261172175,476249.009736519306898,3,7.961798191070557
121,0,0,121,8.7462378,3273820.965627091005445,476251.671006874181330,3,8.746237754821777
122,0,0,122,8.9498148,3273821.936205733567476,476254.490682079456747,3,8.949814796447754
