OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
128,0,0,7806,-15.5522547,3743955.356323242187500,750913.444274902343750,3,-15.552254676818848
129,0,0,7807,-15.5566692,3743953.093322753906250,750911.474914550781250,3,-15.556669235229492
130,0,0,7808,-15.5566692,3743950.830322265625000,750909.505493164062500,3,-15.556669235229492
131,0,0,7809,-15.5619450,3743948.567321777343750,750907.536071777343750,3,-15.561944961547852
132,0,0,7810,-15.5657177,3743946.304321289062500,750905.566711425781250,3,-15.565717697143555
133,0,0,7811,-15.5657177,3743944.041320800781250,750903.597106933593750,3,-15.565717697143555
134,0,0,7812,-15.5671844,3743941.778320312500000,750901.627685546875000,3,-15.567184448242188
135,0,0,7813,-15.5655317,3743939.515075683593750,750899.658325195312500,3,-15.565531730651855
136,0,0,7814,-15.5565138,3743937.252075195312500,750897.688903808593750,3,-15.556513786315918
137,0,0,7815,-15.5631771,3743934.989074707031250,750895.719482421875000,3,-15.563177108764648
138,0,0,7816,-15.5503387,3743932.726074218750000,750893.749877929687500,3,-15.550338745117188
139,0,0,7817,-15.5363827,3743930.463073730468750,750891.780517578125000,3,-15.536382675170898
140,0,0,7818,-15.5364094,3743928.200073242187500,750889.811096191406250,3,-15.536409378051758
141,0,0,7819,-15.5185766,3743925.937072753906250,750887.841674804687500,3,-15.518576622009277
142,0,0,7820,-15.4974318,3743923.673889160156250,750885.872070312500000,3,-15.497431755065918
143,0,0,7821,-15.4769659,3743921.410888671875000,750883.902709960937500,3,-15.476965904235840
144,0,0,7822,-15.4734621,3743919.147888183593750,750881.933288574218750,3,-15.473462104797363
145,0,0,7823,-15.4696045,3743916.884887695312500,750879.963928222656250,3,-15.469604492187500
146,0,0,7824,-15.4473858,3743914.621887207031250,750877.994506835937500,3,-15.447385787963867
147,0,0,7825,-15.4429083,3743912.358886718750000,750876.025085449218750,3,-15.442908287048340
148,0,0,7826,-15.4158201,3743910.095886230468750,750874.055480957031250,3,-15.415820121765137
149,0,0,7827,-15.3896055,3743907.832885742187500,750872.086120605468750,3,-15.389605522155762
150,0,0,7828,-15.3863983,3743905.569702148437500,750870.116699218750000,3,-15.386398315429688
151,0,0,7829,-15.3653154,3743903.306701660156250,750868.147277832031250,3,-15.365315437316895
152,0,0,7830,-15.3436661,3743901.043701171875000,750866.177673339843750,3,-15.343666076660156
153,0,0,7831,-15.3251657,3743898.780700683593750,750864.208312988281250,3,-15.325165748596191
154,0,0,7832,-15.3251657,3743896.517700195312500,750862.238891601562500,3,-15.325165748596191
155,0,0,7833,-15.3104181,3743894.254699707031250,750860.269470214843750,3,-15.310418128967285
156,0,0,7834,-15.2979298,3743891.991516113281250,750858.300109863281250,3,-15.297929763793945
157,0,0,7835,-15.3001337,3743889.728515625000000,750856.330505371093750,3,-15.300133705139160
158,0,0,7836,-15.2989388,3743887.465515136718750,750854.361083984375000,3,-15.298938751220703
159,0,0,7837,-15.2944012,3743885.202514648437500,750852.391723632812500,3,-15.294401168823242
160,0,0,7838,-15.2994537,3743882.939514160156250,750850.422302246093750,3,-15.299453735351562
161,0,0,7839,-15.2983799,3743880.676513671875000,750848.452880859375000,3,-15.298379898071289
162,0,0,7840,-15.3039360,3743878.413513183593750,750846.483276367187500,3,-15.303936004638672
163,0,0,7841,-15.3116674,3743876.150329589843750,750844.513916015625000,3,-15.311667442321777
164,0,0,7842,-15.3116674,3743873.887329101562500,750842.544494628906250,3,-15.311667442321777
165,0,0,7843,-15.3220186,3743871.624328613281250,750840.575073242187500,3,-15.322018623352051
166,0,0,7844,-15.3344288,3743869.361328125000000,750838.605712890625000,3,-15.334428787231445
167,0,0,7845,-15.3344288,3743867.098327636718750,750836.636108398437500,3,-15.334428787231445
168,0,0,7846,-15.3484306,3743864.835327148437500,750834.666687011718750,3,-15.348430633544922
169,0,0,7847,-15.3637686,3743862.572082519531250,750832.697326660156250,3,-15.363768577575684
170,0,0,7848,-15.3804321,3743860.309082031250000,750830.727905273437500,3,-15.380432128906250
171,0,0,7849,-15.3857050,3743858.046081542968750,750828.758483886718750,3,-15.385704994201660
172,0,0,7850,-15.3985863,3743855.783081054687500,750826.788879394531250,3,-15.398586273193359
173,0,0,7851,-15.4184494,3743853.520080566406250,750824.819519042968750,3,-15.418449401855469
174,0,0,7852,-15.4184494,3743851.257080078125000,750822.850097656250000,3,-15.418449401855469
175,0,0,7853,-15.4400988,3743848.994079589843750,750820.880676269531250,3,-15.440098762512207
176,0,0,7854,-15.4632463,3743846.731079101562500,750818.911071777343750,3,-15.463246345520020
177,0,0,7855,-15.4632463,3743844.468078613281250,750816.941711425781250,3,-15.463246345520020
178,0,0,7856,-15.4872732,3743842.204895019531250,750814.972290039062500,3,-15.487273216247559
179,0,0,7857,-15.5134239,3743839.941894531250000,750813.002929687500000,3,-15.513423919677734
180,0,0,7858,-15.5251703,3743837.678894042968750,750811.033508300781250,3,-15.525170326232910
181,0,0,7859,-15.5403233,3743835.415893554687500,750809.064086914062500,3,-15.540323257446289
182,0,0,7860,-15.5502033,3743833.152893066406250,750807.094482421875000,3,-15.550203323364258
183,0,0,7861,-15.5738659,3743830.889892578125000,750805.125122070312500,3,-15.573865890502930
184,0,0,7862,-15.5896645,3743828.626708984375000,750803.155700683593750,3,-15.589664459228516
185,0,0,7863,-15.5952463,3743826.363708496093750,750801.186279296875000,3,-15.595246315002441
186,0,0,7864,-15.6135740,3743824.100708007812500,750799.216674804687500,3,-15.613574028015137
187,0,0,7865,-15.6164818,3743821.837707519531250,750797.247314453125000,3,-15.616481781005859
188,0,0,7866,-15.6284151,3743819.574707031250000,750795.277893066406250,3,-15.628415107727051
189,0,0,7867,-15.6487331,3743817.311706542968750,750793.308471679687500,3,-15.648733139038086
190,0,0,7868,-15.6475630,3743815.048522949218750,750791.339111328125000,3,-15.647562980651855
191,0,0,7869,-15.6540918,3743812.785522460937500,750789.369506835937500,3,-15.654091835021973
192,0,0,7870,-15.6523695,3743810.522521972656250,750787.400085449218750,3,-15.652369499206543
